iteration,objective,train_accuracy,val_accuracy,elapsed_seconds
0,2.2134408488393906,0.3,0.3,0.042382240295410156
1,1.6837009248587682,0.8,0.8,0.06492447853088379
2,1.34879710982618,0.8,0.8,0.08519124984741211
3,0.4997609118489067,0.9,0.9,0.10459566116333008
4,0.1675624200551415,1.0,1.0,0.1263887882232666
5,0.09538861241780455,1.0,1.0,0.1467127799987793
6,0.044117672643319124,1.0,1.0,0.16664767265319824
7,0.01724579554751112,1.0,1.0,0.18752765655517578
8,0.011077891168221795,1.0,1.0,0.20665454864501953
9,0.00525108496409173,1.0,1.0,0.2277088165283203
10,0.0029021364875833683,1.0,1.0,0.252117395401001
11,0.0016453698397242327,1.0,1.0,0.28029537200927734
12,0.0009990208369946478,1.0,1.0,0.30667734146118164
13,0.0007102437736523747,1.0,1.0,0.33041930198669434
14,0.0006019566728658204,1.0,1.0,0.35116124153137207
15,0.0005400182460167161,1.0,1.0,0.3719906806945801
16,0.000514280843747499,1.0,1.0,0.3921830654144287
17,0.0004986167885626997,1.0,1.0,0.41025757789611816
